Date,Price,Open,High,Low,Vol.,Change %
14-08-2015,"17,477.40","17,410.12","17,492.90","17,394.06",82.12M,0.40%
13-08-2015,"17,408.25","17,401.64","17,481.78","17,341.34",88.55M,0.03%
12-08-2015,"17,402.51","17,382.93","17,423.90","17,125.81",120.40M,0.00%
11-08-2015,"17,402.84","17,593.59","17,593.59","17,352.63",103.01M,-1.21%
10-08-2015,"17,615.17","17,375.18","17,629.13","17,375.18",92.43M,1.39%
07-08-2015,"17,373.38","17,414.94","17,414.94","17,279.08",81.80M,-0.27%
06-08-2015,"17,419.75","17,542.61","17,572.04","17,362.86",96.17M,-0.69%
05-08-2015,"17,540.47","17,555.24","17,661.37","17,492.90",102.45M,-0.06%
04-08-2015,"17,550.69","17,596.93","17,635.78","17,505.50",99.06M,-0.27%
03-08-2015,"17,598.20","17,696.74","17,704.76","17,496.61",87.88M,-0.52%
31-07-2015,"17,689.86","17,755.87","17,783.59","17,671.59",106.12M,-0.32%
30-07-2015,"17,745.98","17,743.24","17,761.25","17,640.85",76.65M,-0.03%
29-07-2015,"17,751.39","17,631.40","17,776.78","17,629.20",93.14M,0.69%
28-07-2015,"17,630.27","17,449.81","17,650.07","17,449.81",103.45M,1.09%
27-07-2015,"17,440.59","17,561.78","17,561.78","17,399.17",117.86M,-0.73%
24-07-2015,"17,568.53","17,731.05","17,756.54","17,553.73",103.47M,-0.92%
23-07-2015,"17,731.92","17,853.78","17,860.95","17,705.03",88.60M,-0.67%
22-07-2015,"17,851.04","17,918.35","17,919.35","17,807.41",112.37M,-0.38%
21-07-2015,"17,919.29","18,096.67","18,096.67","17,868.34",100.17M,-1.00%
20-07-2015,"18,100.41","18,085.91","18,137.12","18,064.50",75.06M,0.08%
17-07-2015,"18,086.45","18,117.58","18,121.12","18,032.06",106.51M,-0.19%
16-07-2015,"18,120.25","18,078.16","18,131.61","18,065.33",85.03M,0.39%
15-07-2015,"18,050.17","18,053.38","18,090.39","18,010.15",80.46M,-0.02%
14-07-2015,"18,053.58","17,974.61","18,072.82","17,956.17",76.74M,0.42%
13-07-2015,"17,977.68","17,787.27","17,987.57","17,787.27",86.38M,1.22%
10-07-2015,"17,760.41","17,561.12","17,797.49","17,561.12",85.80M,1.21%
09-07-2015,"17,548.62","17,530.38","17,764.85","17,530.38",100.52M,0.19%
08-07-2015,"17,515.42","17,759.01","17,759.01","17,496.22",69.83M,-1.47%
07-07-2015,"17,776.91","17,684.92","17,793.45","17,465.68",105.84M,0.53%
06-07-2015,"17,683.58","17,728.08","17,734.36","17,564.36",90.13M,-0.26%
02-07-2015,"17,730.11","17,763.32","17,825.49","17,687.52",83.10M,-0.16%
01-07-2015,"17,757.91","17,638.12","17,801.83","17,638.12",87.01M,0.79%
30-06-2015,"17,619.51","17,599.96","17,714.66","17,576.50",126.46M,0.13%
29-06-2015,"17,596.35","17,936.74","17,936.74","17,590.55",116.34M,-1.95%
26-06-2015,"17,946.68","17,892.03","18,013.15","17,892.03",158.12M,0.31%
25-06-2015,"17,890.36","17,977.11","18,036.10","17,890.36",78.99M,-0.42%
24-06-2015,"17,966.07","18,139.10","18,139.10","17,966.07",104.98M,-0.98%
23-06-2015,"18,144.07","18,121.78","18,188.81","18,108.10",75.97M,0.13%
22-06-2015,"18,119.78","18,027.63","18,181.67","18,027.63",77.78M,0.58%
19-06-2015,"18,015.95","18,116.24","18,117.71","18,010.58",258.30M,-0.55%
18-06-2015,"18,115.84","17,944.61","18,174.73","17,944.61",94.46M,1.00%
17-06-2015,"17,935.74","17,909.58","17,998.00","17,839.65",92.41M,0.17%
16-06-2015,"17,904.48","17,787.43","17,919.62","17,774.12",77.51M,0.64%
15-06-2015,"17,791.17","17,890.76","17,890.76","17,698.42",91.92M,-0.60%
12-06-2015,"17,898.84","18,035.83","18,035.83","17,857.07",83.76M,-0.78%
11-06-2015,"18,039.37","18,001.27","18,109.77","18,001.27",89.49M,0.22%
10-06-2015,"18,000.40","17,765.38","18,045.14","17,765.38",96.98M,1.33%
09-06-2015,"17,764.04","17,766.95","17,817.83","17,714.97",90.55M,-0.01%
08-06-2015,"17,766.55","17,849.46","17,852.35","17,760.61",86.30M,-0.46%
05-06-2015,"17,849.46","17,905.38","17,940.78","17,822.90",89.14M,-0.31%
04-06-2015,"17,905.58","18,072.47","18,087.15","17,876.95",93.47M,-0.94%
03-06-2015,"18,076.27","18,018.42","18,168.09","18,010.42",73.12M,0.36%
02-06-2015,"18,011.94","18,033.33","18,091.87","17,925.33",77.55M,-0.16%
01-06-2015,"18,040.37","18,017.82","18,105.83","17,982.06",85.64M,0.16%
29-05-2015,"18,010.68","18,128.12","18,128.12","17,967.74",139.81M,-0.64%
28-05-2015,"18,126.12","18,154.14","18,154.14","18,066.40",67.51M,-0.20%
27-05-2015,"18,162.99","18,045.08","18,190.35","18,045.08",96.40M,0.67%
26-05-2015,"18,041.54","18,229.75","18,229.75","17,990.02",109.44M,-1.04%
22-05-2015,"18,232.02","18,286.87","18,286.87","18,217.14",78.89M,-0.29%
21-05-2015,"18,285.74","18,285.87","18,314.89","18,249.90",84.27M,0.00%
20-05-2015,"18,285.40","18,315.06","18,350.13","18,272.56",80.19M,-0.15%
19-05-2015,"18,312.39","18,300.48","18,351.36","18,261.35",87.20M,0.07%
18-05-2015,"18,298.88","18,267.25","18,325.54","18,244.26",79.08M,0.14%
15-05-2015,"18,272.56","18,251.97","18,272.72","18,215.07",108.22M,0.11%
14-05-2015,"18,252.24","18,062.49","18,255.21","18,062.49",91.58M,1.06%
13-05-2015,"18,060.49","18,070.37","18,132.79","18,039.20",85.18M,-0.04%
12-05-2015,"18,068.23","18,096.16","18,119.18","17,924.80",89.27M,-0.20%
11-05-2015,"18,105.17","18,187.78","18,199.95","18,089.11",86.05M,-0.47%
08-05-2015,"18,191.11","17,933.64","18,205.23","17,933.64",94.96M,1.49%
07-05-2015,"17,924.06","17,840.25","17,973.07","17,796.94",80.92M,0.46%
06-05-2015,"17,841.98","17,934.81","18,019.75","17,733.12",100.43M,-0.48%
05-05-2015,"17,928.20","18,062.53","18,086.01","17,905.71",95.34M,-0.79%
04-05-2015,"18,070.40","18,026.02","18,133.76","18,026.02",86.01M,0.26%
01-05-2015,"18,024.06","17,859.27","18,028.89","17,859.27",91.70M,1.03%
30-04-2015,"17,840.52","18,033.33","18,033.33","17,774.89",129.21M,-1.08%
29-04-2015,"18,035.53","18,093.69","18,096.46","17,953.69",102.08M,-0.41%
28-04-2015,"18,110.14","18,035.90","18,119.65","17,917.36",124.93M,0.40%
27-04-2015,"18,037.97","18,097.89","18,175.56","18,024.66",121.11M,-0.23%
24-04-2015,"18,080.14","18,056.42","18,108.87","18,009.08",119.13M,0.12%
23-04-2015,"18,058.69","18,031.90","18,133.03","17,966.77",100.24M,0.11%
22-04-2015,"18,038.27","17,950.82","18,056.02","17,887.76",91.26M,0.49%
21-04-2015,"17,949.59","18,034.23","18,109.70","17,929.63",95.18M,-0.47%
20-04-2015,"18,034.93","17,841.18","18,092.22","17,841.18",103.16M,1.17%
17-04-2015,"17,826.30","18,102.56","18,102.56","17,748.53",138.86M,-1.54%
16-04-2015,"18,105.77","18,106.27","18,169.26","18,063.86",89.52M,-0.04%
15-04-2015,"18,112.61","18,045.71","18,160.52","18,045.71",113.61M,0.42%
14-04-2015,"18,036.70","17,979.11","18,075.60","17,905.48",82.83M,0.33%
13-04-2015,"17,977.04","18,052.32","18,107.57","17,974.81",120.09M,-0.45%
10-04-2015,"18,057.65","17,956.73","18,066.76","17,945.55",116.41M,0.55%
09-04-2015,"17,958.73","17,897.70","17,984.22","17,823.10",86.74M,0.31%
08-04-2015,"17,902.51","17,877.62","17,976.20","17,822.23",76.82M,0.15%
07-04-2015,"17,875.42","17,884.32","17,983.12","17,871.21",72.15M,-0.03%
06-04-2015,"17,880.85","17,755.50","17,941.79","17,646.80",100.85M,0.66%
02-04-2015,"17,763.24","17,699.52","17,815.03","17,673.49",87.37M,0.37%
01-04-2015,"17,698.18","17,778.52","17,778.52","17,585.01",103.36M,-0.44%
31-03-2015,"17,776.12","17,965.37","17,965.37","17,773.02",119.47M,-1.11%
30-03-2015,"17,976.31","17,727.48","18,008.64","17,727.48",104.04M,1.49%
27-03-2015,"17,712.66","17,673.63","17,729.14","17,630.49",103.22M,0.19%
26-03-2015,"17,678.23","17,716.27","17,759.51","17,579.27",117.74M,-0.23%
25-03-2015,"17,718.54","18,012.61","18,041.97","17,718.54",106.59M,-1.62%
24-03-2015,"18,011.14","18,110.87","18,149.24","18,010.44",87.19M,-0.58%
23-03-2015,"18,116.04","18,136.73","18,205.93","18,116.04",98.03M,-0.06%
20-03-2015,"18,127.65","17,961.13","18,197.29","17,961.13",334.25M,0.94%
19-03-2015,"17,959.03","18,072.58","18,072.99","17,934.24",107.82M,-0.65%
18-03-2015,"18,076.19","17,846.80","18,097.12","17,697.52",130.95M,1.27%
17-03-2015,"17,849.08","17,972.22","17,972.22","17,785.79",82.56M,-0.71%
16-03-2015,"17,977.42","17,751.24","17,988.50","17,751.24",101.76M,1.29%
13-03-2015,"17,749.31","17,889.05","17,889.05","17,629.89",113.63M,-0.82%
12-03-2015,"17,895.22","17,626.84","17,900.10","17,620.49",111.55M,1.47%
11-03-2015,"17,635.39","17,662.94","17,731.78","17,627.00",102.12M,-0.16%
10-03-2015,"17,662.94","17,989.56","17,989.56","17,662.94",120.45M,-1.85%
09-03-2015,"17,995.72","17,856.56","18,031.04","17,856.56",85.82M,0.78%
06-03-2015,"17,856.78","18,135.72","18,135.72","17,825.15",113.35M,-1.54%
05-03-2015,"18,135.72","18,096.90","18,160.35","18,087.65",75.84M,0.21%
04-03-2015,"18,096.90","18,203.37","18,203.37","18,029.50",80.90M,-0.58%
03-03-2015,"18,203.37","18,281.95","18,281.95","18,136.88",83.83M,-0.47%
02-03-2015,"18,288.63","18,134.05","18,288.63","18,122.59",89.79M,0.86%
27-02-2015,"18,132.70","18,213.26","18,213.26","18,132.38",101.11M,-0.45%
26-02-2015,"18,214.42","18,224.41","18,239.43","18,157.07",81.50M,-0.06%
25-02-2015,"18,224.57","18,208.67","18,244.38","18,182.76",80.48M,0.08%
24-02-2015,"18,209.19","18,112.57","18,231.09","18,098.73",79.31M,0.51%
23-02-2015,"18,116.84","18,140.76","18,141.21","18,054.84",83.67M,-0.13%
20-02-2015,"18,140.44","17,985.77","18,144.29","17,878.37",111.39M,0.86%
19-02-2015,"17,985.77","18,028.67","18,028.67","17,924.60",79.13M,-0.24%
18-02-2015,"18,029.85","18,045.72","18,048.70","17,982.20",75.09M,-0.10%
17-02-2015,"18,047.58","18,019.80","18,052.01","17,951.41",98.76M,0.16%
13-02-2015,"18,019.35","17,968.65","18,037.41","17,961.76",85.23M,0.26%
12-02-2015,"17,972.38","17,862.14","17,975.65","17,862.14",117.16M,0.62%
11-02-2015,"17,862.14","17,867.86","17,897.21","17,759.65",89.89M,-0.04%
10-02-2015,"17,868.76","17,736.15","17,890.34","17,729.24",89.93M,0.79%
09-02-2015,"17,729.21","17,821.49","17,821.49","17,685.32",81.59M,-0.53%
06-02-2015,"17,824.29","17,881.54","17,951.09","17,764.40",93.61M,-0.34%
05-02-2015,"17,884.88","17,677.26","17,889.58","17,677.26",79.89M,1.20%
04-02-2015,"17,673.02","17,664.99","17,782.22","17,603.21",102.56M,0.04%
03-02-2015,"17,666.40","17,369.97","17,670.76","17,369.97",112.86M,1.76%
02-02-2015,"17,361.04","17,169.99","17,367.68","17,037.76",108.09M,1.14%
30-01-2015,"17,164.95","17,416.85","17,419.90","17,156.82",168.56M,-1.45%
29-01-2015,"17,416.85","17,195.29","17,433.13","17,136.30",111.69M,1.31%
28-01-2015,"17,191.37","17,402.91","17,484.41","17,189.00",115.98M,-1.13%
27-01-2015,"17,387.21","17,638.53","17,638.53","17,288.31",135.94M,-1.65%
26-01-2015,"17,678.70","17,668.11","17,696.36","17,567.60",87.22M,0.03%
23-01-2015,"17,672.60","17,812.50","17,812.50","17,667.53",97.11M,-0.79%
22-01-2015,"17,813.98","17,557.29","17,840.89","17,482.54",111.98M,1.48%
21-01-2015,"17,554.28","17,509.96","17,599.58","17,396.04",95.53M,0.22%
20-01-2015,"17,515.23","17,516.96","17,588.70","17,346.73",119.60M,0.02%
16-01-2015,"17,511.57","17,320.00","17,528.37","17,243.55",140.48M,1.10%
15-01-2015,"17,320.71","17,436.30","17,517.41","17,298.04",94.52M,-0.61%
14-01-2015,"17,427.09","17,609.06","17,609.06","17,264.90",109.18M,-1.06%
13-01-2015,"17,613.68","17,645.02","17,923.01","17,498.23",99.36M,-0.15%
12-01-2015,"17,640.84","17,742.05","17,793.88","17,571.58",92.50M,-0.54%
09-01-2015,"17,737.37","17,911.02","17,915.32","17,686.09",93.39M,-0.95%
08-01-2015,"17,907.87","17,591.97","17,916.04","17,591.97",114.89M,1.84%
07-01-2015,"17,584.52","17,374.78","17,597.08","17,374.78",91.03M,1.23%
06-01-2015,"17,371.64","17,504.18","17,581.05","17,262.37",101.87M,-0.74%
05-01-2015,"17,501.65","17,821.30","17,821.30","17,475.93",116.16M,-1.86%
02-01-2015,"17,832.99","17,823.07","17,951.78","17,731.30",76.27M,0.06%
31-12-2014,"17,823.07","17,987.66","18,043.22","17,820.88",82.84M,-0.89%
30-12-2014,"17,983.07","18,035.02","18,035.02","17,959.70",47.49M,-0.31%
29-12-2014,"18,038.23","18,046.58","18,073.04","18,021.57",53.87M,-0.09%
26-12-2014,"18,053.71","18,038.30","18,103.45","18,038.30",52.57M,0.13%
24-12-2014,"18,030.21","18,035.73","18,086.24","18,027.78",42.87M,0.03%
23-12-2014,"18,024.17","17,971.51","18,069.22","17,970.16",82.89M,0.36%
22-12-2014,"17,959.44","17,812.25","17,962.78","17,812.25",98.47M,0.87%
19-12-2014,"17,804.80","17,778.02","17,874.03","17,746.55",343.69M,0.15%
18-12-2014,"17,778.15","17,367.85","17,778.40","17,367.85",123.98M,2.43%
17-12-2014,"17,356.87","17,069.16","17,389.30","17,069.16",118.22M,1.69%
16-12-2014,"17,068.87","17,173.07","17,427.44","17,067.59",116.65M,-0.65%
15-12-2014,"17,180.84","17,285.74","17,403.54","17,115.28",114.05M,-0.58%
12-12-2014,"17,280.83","17,590.05","17,590.05","17,280.83",121.95M,-1.79%
11-12-2014,"17,596.34","17,534.30","17,758.51","17,534.30",90.10M,0.36%
10-12-2014,"17,533.15","17,797.99","17,797.99","17,508.10",115.10M,-1.51%
09-12-2014,"17,801.20","17,847.37","17,847.37","17,629.57",100.40M,-0.29%
08-12-2014,"17,852.48","17,954.94","17,960.56","17,804.28",88.68M,-0.59%
